name|description|skill_percent
UX-исследования|* UX (User Experience - пользовательский опыт) отвечает за то, как интерфейс работает. * UX-исследования - это инструмент, который помогает команде понять потребности пользователей продукта (их чувства, эмоции, мотивы поведения). * Цель UX-анализа - выявить барьеры и слабые места, а затем исправить их: устранить несоответствие между ожиданиями пользователя и функциональностью продукта, снизить когнитивную нагрузку и сократить путь достижения цели. * Всё это помогает улучшать экономические показатели.|100
UI-дизайн|* UI-дизайн (User Interface - ""пользовательский интерфейс"") отвечает за то, как интерфейс выглядит. * Задачи: 1. Определять цветовую гамму, шрифты, размер элементов. 2. Разрабатывать фирменный стиль бренда, UI-кит, дизайн-систему. 3. Адаптировать все элементы интерфейса под разные устройства. 4. Готовить анимацию и статичные элементы - изображения, таблицы, кнопки, слайдеры, формы."|90
Инструменты|* Figma - приложение, используемое для выполнения всех видов графических работ: от создания макетов сайтов до разработки интерфейсов мобильных приложений и прототипировния. * Задачи: 1. Прототипировать, понимать важность прототипа и уместность его использования. 2. Создавать анимацию так, чтобы команде разработки было понятно.|100
Продукт|* Ориентир на то, чтобы делать дизайн для людей и для бизнеса, улучшать продукты, чтобы чинить боли пользователей, чтобы помогать бизнесам расти и быть успешнее. * Задачи: 1. Собирать customer joutney и любой landing именно с точки зрения нужд продукта (определять боли клиента, конкурентные преимущества продукта), вывести на сайт в понятной структуре и логике. 2. Понимать, что решения влияют на метрики, учитывать это при работе. 3. Без упадка сил и потери мотивации убирать те дизайн-решения, которые не решают задач продукта. 4. Проводить интервью с пользователями под присмотром старшего специалиста.|100
Коммуникация|* Укрепление доверия, эффективное разъяснение своих дизайн-решений, учитывая потребности заинтересованных сторон. * Задачи: 1. Уметь презентовать свой опыт/работу. 2. Системно выстраивать свою речь. 3. Вести прозрачную, своевременную и логичную коммуникацию - вовремя предупреждать о проблемах, сдвигающихся сроках. 4. Общаться с клиентом напрямую: участвовать или проводить самому бриф с заказчиком. Уметь презентовать решения.|80
Про-активность|* Продолжать учиться и развиваться, как специалист в своей области. * Задачи: 1. Стабильно показывать результат в работе над текущими проектами. 2. Оценивать, сколько нужно времени на выполнение задачи и укладываться в поставленный срок.|0
Пипл-менеджмент|* Продолжать учиться и развиваться, как специалист в своей области. * Задачи: 1. Уметь оценить масштаб работы над проектом. 2. Делегировать часть работы специалисту уровня junior в соответствии с его навыками. 3. Оценить колчество времени, затраченного на выполнение и заменеджерить его.|0
Автономность|* Продолжать учиться и развиватся, как специалист с своей области. * Задачи: 1. Самостоятельно нарабатывать насмотренность. 2. Активно изучать литературу, знать популярных дизайнеров. 3. Участвовать челленджах, хакатонах и других дизайнерских активностях. 4. Получать обратную связь, уметь делать выводы. 5. Выявлять пробелы в своих навыках. Честно признаваться себе, в чем вы сильны, а над чем еще предстоит поработать. 6. Находить наставника, что поможет выявить свои слабые стороны и предоставить ресурсы и возможности для их развития.|100

UX-исследования|* UX (User Experience - пользовательский опыт) отвечает за то, как интерфейс работает. * UX-исследования - это инструмент, который помогает команде понять потребности пользователей продукта (их чувства, эмоции, мотивы поведения). * Цель UX-анализа - выявить барьеры и слабые места, а затем исправить их: устранить несоответствие между ожиданиями пользователя и функциональностью продукта, снизить когнитивную нагрузку и сократить путь достижения цели. * Всё это помогает улучшать экономические показатели.|36
UI-дизайн|* UI-дизайн (User Interface - ""пользовательский интерфейс"") отвечает за то, как интерфейс выглядит. * Задачи: 1. Определять цветовую гамму, шрифты, размер элементов. 2. Разрабатывать фирменный стиль бренда, UI-кит, дизайн-систему. 3. Адаптировать все элементы интерфейса под разные устройства. 4. Готовить анимацию и статичные элементы - изображения, таблицы, кнопки, слайдеры, формы."|47
Инструменты|* Figma - приложение, используемое для выполнения всех видов графических работ: от создания макетов сайтов до разработки интерфейсов мобильных приложений и прототипировния. * Задачи: 1. Прототипировать, понимать важность прототипа и уместность его использования. 2. Создавать анимацию так, чтобы команде разработки было понятно.|60
Продукт|* Ориентир на то, чтобы делать дизайн для людей и для бизнеса, улучшать продукты, чтобы чинить боли пользователей, чтобы помогать бизнесам расти и быть успешнее. * Задачи: 1. Собирать customer joutney и любой landing именно с точки зрения нужд продукта (определять боли клиента, конкурентные преимущества продукта), вывести на сайт в понятной структуре и логике. 2. Понимать, что решения влияют на метрики, учитывать это при работе. 3. Без упадка сил и потери мотивации убирать те дизайн-решения, которые не решают задач продукта. 4. Проводить интервью с пользователями под присмотром старшего специалиста.|20
Коммуникация|* Укрепление доверия, эффективное разъяснение своих дизайн-решений, учитывая потребности заинтересованных сторон. * Задачи: 1. Уметь презентовать свой опыт/работу. 2. Системно выстраивать свою речь. 3. Вести прозрачную, своевременную и логичную коммуникацию - вовремя предупреждать о проблемах, сдвигающихся сроках. 4. Общаться с клиентом напрямую: участвовать или проводить самому бриф с заказчиком. Уметь презентовать решения.|31
Про-активность|* Продолжать учиться и развиваться, как специалист в своей области. * Задачи: 1. Стабильно показывать результат в работе над текущими проектами. 2. Оценивать, сколько нужно времени на выполнение задачи и укладываться в поставленный срок.|36
Пипл-менеджмент|* Продолжать учиться и развиваться, как специалист в своей области. * Задачи: 1. Уметь оценить масштаб работы над проектом. 2. Делегировать часть работы специалисту уровня junior в соответствии с его навыками. 3. Оценить колчество времени, затраченного на выполнение и заменеджерить его.|0
Автономность|* Продолжать учиться и развиватся, как специалист с своей области. * Задачи: 1. Самостоятельно нарабатывать насмотренность. 2. Активно изучать литературу, знать популярных дизайнеров. 3. Участвовать челленджах, хакатонах и других дизайнерских активностях. 4. Получать обратную связь, уметь делать выводы. 5. Выявлять пробелы в своих навыках. Честно признаваться себе, в чем вы сильны, а над чем еще предстоит поработать. 6. Находить наставника, что поможет выявить свои слабые стороны и предоставить ресурсы и возможности для их развития.|40
